nombreArtista,urlArtista,urlCancion,letraCancion
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/10-anos-luna-park/orgullosa-con-miguel-conejito-alejandro/,"Una palomita vino a mi ventana, 
una palomita vino a mi ventana, 
y me ha contado que por las noches lloras, lloras, 
con mi foto entre tus manos, lloras, lloras. 
Orgullosa. 

Y que por las tardes sueles caminar 
por las misma calle que te iba a buscar. 
Y en ese banco en que te besaba lloras, lloras, 
donde he grabado tu nombre y el mío, lloras, lloras. 
Orgullosa. 

Orgullosa, 
deja tus caprichos de no hablarme, 
sácate esa idea de dejarme, 
porque sé que quieres perdonarme. 
Fue una tontería el enojarte 
por que ya no aguanto de esperarte, 
déjame que pronto vuelva a amarte. 
Ay, orgullosa, 
deja tus caprichos de no hablarme, 
sácate esa idea de dejarme, 
porque sé que quieres perdonarme. 
Fue una tontería el enojarte 
por que ya no aguanto de esperarte, 
déjame que pronto vuelva a amarte. 

Y una palomita vino a mi ventana, 
una palomita vino a mi ventana, 
y me ha contado que por las noches lloras, lloras, 
con mi foto entre tus manos, lloras, lloras. 
Orgullosa. 

Orgullosa, 
deja tus caprichos de no hablarme, 
sácate esa idea de dejarme, 
porque sé que quieres perdonarme. 
Fue una tontería el enojarte 
por que ya no aguanto de esperarte, 
déjame que pronto vuelva a amarte. 
Ay, orgullosa, 
deja tus caprichos de no hablarme, 
sácate esa idea de dejarme, 
porque sé que quieres perdonarme. 
Fue una tontería el enojarte 
por que ya no aguanto de esperarte, 
déjame que pronto vuelva a amarte. 
Orgullosa."
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/la-fiesta-sigue-encendida/quiero-saber-de-ti/,"Ahora que te vuelvo a encontrar 
sonrio de nuevo, la luz de la bella ciudad 
nos envio este amor, que un dia se fue lejos 
nunca es tarde para empezar 
te sigo queriendo 
y quiero saber si tu amor no murio 
si en verdad lo llevas a dentro 

Quiero saber de ti 
quiero saber si nuevamente me vas a amar 
quiero saber si estando lejos 
pensaste en mi 
Nada me importa por que 
Quiero volverte a amar 

Te contare de mi, 
de todas las noches que en vela 
solia pasar mirando tu fotografia 
en mi soledad 
Ahora nuevamente sonrio 
por que estas aqui 

Vida yo siento miedo 
por que de tu cuerpo no tengo nada 
Vida quiero tus besos y tu mirada 
Eres lo mas bonito que hay en mi vida 
Que hay en mi alma 
Tu eres lo que mi vida siempre esperaba 

Nunca me olvide de tu amor tan puro y tan bello 
es como el instinto que Dios nos mando 
para hacer un mundo mas bello 

Yo jure ante Dios que 
jamas me arrepiento 
mientras halla luz en el sol te amare 
este amor que siento es eterno 

No me importa morir 
por que se que de tanto amor resucitare 
No sientas miedo 
por que siempre te adorare y sabes que mi corazon 
vivira por ti 
tu sentiras por mi el mismo amor 
que siempre llevo en mi corazon 
por que te sientas atrapada por la ilucion 
de sentir siempre la ternura que yo te di 

Vida no sientas miedo 
Se que meextrañas 
se que me quieres 
mira lo estas diciendo con tu mirada 
Eres lo mas bonito 
que hay en mi vida 
que hay en mi alma 
Tu eres lo que mi vida siempre esperaba 

No me importa morir por que se que de tanto amor resucitare 
no sientas miendo por que siempre te adorare 
y sabes que mi corazon vivira por ti..."
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/inconfundible/se-me-pasara/,"Llévate con las maletas tu presencia 
llévate lo que te queda, de una vez 
no me trates de explicar, lo que pasó no me interesa 
ojalá que a donde vallas, te valla bien. 

La confianza que se pierde, no regresa 
la traición es la peor desilusión 
una vez te perdoné porque un error lo hace cualquiera 
pero al límite que tengo, ya llegué. 

Se me pasará, lo que ahora estoy sufriendo 
se me pasará, porque no hay dolor eterno 
de amor nadie se muere, 
si hay orgullo en su interior 

Se me pasará, la sorpresa del momento 
se me pasará, esta rabia que ahora siento 
el mundo no se acaba, solo nuestra relación 
y este golpe va a llevarme a otro intento. 

Uno jura que el amor es para siempre 
pero jura hasta el momento que acabó 
dos personas son dos mentes 
y costumbres diferentes 
que siempre gana apostando el corazón. 

Se me pasará, lo que ahora estoy sufriendo 
se me pasará, porque no hay dolor eterno 
de amor nadie se muere, 
si hay orgullo en su interior 

Se me pasará, la sorpresa del momento 
se me pasará, esta rabia que ahora siento 
el mundo no se acaba, solo nuestra relación 
y este golpe va a llevarme a otro intento."
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/y-sigue-la-gosadera/la-calambrina/,"Hoy les quiero presentar algo que a mí me fascina (2) 
Que me dá fuego por dentro y se llama la calambrina (2) 
Yo quiero que tu papá, tu hermanito y tu sobrina (2) 
Canten, gozen y bailen juntos conmigo la calambrina (2) 

Tuituitu me fascina 
yo quiero que todos gozen 
el baile de la calambrina (2) 

No me importa donde te encuentres, en la disco, en una esquina (2) 
invita a quien esta a tu lado y bailen la calambrina (2) 
Lo baila mi tía Inés cuando está en la cocina (2) 
y dice que está sabroso el baile de la calambrina 
y dice que está bien chulo el baile de la calambrina 

Cuando voy para el gimnasio doy todito en la rutina (2) 
Porque vamos a sudar con el baile de la calambrina 
porque vamos a adelgazar con el baile de la calambrina"
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/tucuman/no-me-doy-por-vencido/,"Me quedo callado,
Soy como un niño dormido,
Que puede despertarse con apenas solo un ruido,
Cuando menos te lo esperas,
Cuando menos lo imaginas,
Se que un día no me aguanto
Y voy...
Y te miro,
Y te lo digo a los gritos,
Y te ríes y me tomas por un loco atrevido
Pues no sabes cuanto tiempo en mi mente tu has vivido
Ni sospechas cuanto te nombre!
Y yo...
Yo no me doy por vencido,
Yo quiero un mundo contigo,
Juro que vale la pena esperar y esperar y esperar un suspiro
Una señal del destinooo
No me canso, no me rindo, no me doy por vencido.
Tengo una flor de bolsillo,
Marchita de buscar a la mujer que me quiera,
y reciba su perfume hasta traer la primavera
y me enzeñe lo que no aprendi de la vida.
Que brilla más cada día,
Porque estoy a un solo paso de ganarme la alegría
Porque el corazón levanta una tormenta enfurecida,
Desde aquel momento en que te vi
Y yo...
Yo no me doy por vencido,
Yo quiero un mundo contigo,
Juro que vale la pena esperar y esperar y esperar un suspiro
Una señal del destinooo
No me canso, no me rindo, no me doy por vencido."
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/mambo-duro/libros-tontos/,"Madrugada es, intento estudiar 
porque mañana presento mi examen final 
no puedo concentrarme, no se me queda nada 
solo su imagen hermosa mi pensamiento atrapa 

libros tontos, como quieren que sus letras entren en mi mente 
si mi mente esta cansada de tanto quererte y quererte, quererte 
libros tontos, como quieren que sus letras entren en mi mente 
sabes bien que por tu culpa perdere el semestre 
la quiero, la quiero... perdonenme 

es de dia y yo no logre estudiar, 
se me fue la noche en ella pensar 
pero tengo la esperanza de tenerla hoy en clases 
de abrazarla y de besarla aunque el examen no pase 

libros tontos, como quieren que sus letras entren en mi mente 
si mi mente esta cansada de tanto quererte y quererte, quererte 
libros tontos, como quieren que sus letras entren en mi mente 
sabes bien que por tu culpa perdere el semestre 
la quiero, la quiero... perdonenme"
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/10-anos-luna-park/pegame-tu-vicio-hasta-el-sol-de-hoy-pablo-luna/,"Dicen por ahí 
que el vicio de amarte es malo 
más a mi me hace falta 
besar tus lindos labios. 

Dicen que tu amor 
es un genero muy malo 
pero a mi no me importa 
aunque tu maldad me haga daño. 

Que digan lo que digan 
seguiré enamorado de ti 
pues tu me gustas mucho, mujer 
mi amor tu me has robado 
no importa que yo muera 
por culpa de tu boca 
porque te llevo dentro de mí 
y el alma me destroza. 

Quiero perderme contigo 
en el vicio de tus labios. 

Pégame tu vicio, oh! 
el vicio de tus labios 
Pégame tu vicio, mami! 
el vicio de tus labios. 

No me importa ser culpable 
yo solo quiero verte 
no me importa ser adicto 
Pégame tu vicio, sí! 
el vicio de tus labios, yooo... 

Pégame tu vicio, si! 
el vicio de tus labios 
Pégame tu vicio, mami! 
el vicio de tus labios 

No me importa si eres una perdida 
si bebes, si fumas, esa es tu vida 

Pégame tu vicio, si! 
el vicio de tus labios, yooo 
Yo ooo 
Yo ooo 
Yo ooo 

Hoy quisiera huir, marcharme lejos contigo 
donde nadie moleste y echar el mundo al olvido 
Olvidar la margura que a veces de la vida 
si como quieran hablan aun, solo viven de envidia 
quiero perderme contigo 
en el vicio de tus labios. 

Pégame tu vicio, oh! 
el vicio de tus labios 
Pégame tu vicio, mami! 
el vicio de tus labios 

Dicen por ahí que tu amor es de los malos 
Que mata como el cáncer en si 
Ay!, no me importa. 

Pégame tu vicio, oh! 
el vicio de tus labios 
Pégame tu vicio, mami! 
el vicio de tus labios


Fuente: musica.com"
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/junto-a-ti/contigo-se-me-fue-la-vida/,"Me duele el tiempo que tú te tomabas, 
buscando tus vestigios en mi cama, 
y el perdón de mi alma abandonada. 
Me duele amor cada reproche de mis sábanas, 
cada estación de mis encierros, 
buscándote en mi cuerpo. 
Me duele tanta soledad. 
Lo sé no tienes que decir me amabas. 

Contigo se me fue la vida 
desierto y solo al despertar 
siento en mi cuerpo la agonía 
y un gran invierno al despertar. 
Contigo se me fue la vida 
varado justo a la mitad 
conmigo solo dejas las heridas 
y duro espejo entre mi orgullo y tu partida. 
Aguarda mi vida 
que aún me queda la ilusión de tu perdón. 

Me duele el tiempo que tú te tomabas 
buscando tus vestigios en mi cama 
y el perdón de mi alma abandonada. 
Me duele amor el eco de la inmensidad 
sin tu adorable compañía 
mi soñar se vuelve errante. 
Me duele tanta soledad 
Lo sé no tienes que decir me amabas. 

Contigo se me fue la vida 
desierto y solo al despertar 
siento en mi cuerpo la agonía 
y un gran invierno al despertar. 
Contigo se me fue la vida 
varado justo a la mitad 
conmigo solo dejas las heridas 
y duro espejo entre mi orgullo y tu partida. 
Aguarda mi vida 
que aún me queda la ilusión de tu perdón. 

Contigo se me fue la vida 
varado justo a la mitad. 
Siento en mi cuerpo la agonía 
De un gran invierno al despertar 
Contigo se me fue la vida 
varado justo a la mitad 
conmigo solo dejas las heridas 
y un duro espejo entre mi orgullo y tu partida. 
Aguarda mi vida 
que aún me queda la ilusión de tu perdón."
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/junto-a-ti/volvi-a-perder-tu-en-el-amor/,"Volví a perder en el amor, 
tengo el Corazón desecho 
con las ganas de morir. 
Aprenderé a vivir sin ti, 
aunque me cuesten mil lágrimas 
y mil noches sin dormir. 
Tengo que borrarte de mi mente, 
tengo que arrancarte de mi corazón. 

Volví a perder en el amor (hoy volví a perder) 
tengo el corazón desecho, 
mira lo que le has hecho 
A esta Pobre Tonto Loco Ilusionado 
solo le diste dolor. 
Volví a perder en el amor. 
Tengo el corazón desecho, 
mira lo que le has hecho 
A esta Pobre Tonto Loco Ilusionado 
solo le diste dolor. 

Volví a perder en el amor, 
tengo el Corazón desecho 
con las ganas de morir. 
Aprenderé a vivir sin ti, 
aunque me cuesten mil lágrimas 
y mil noches sin dormir. 
Tengo que borrarte de mi mente, 
tengo que arrancarte de mi corazón. 

Volví a perder en el amor (hoy volví a perder) 
tengo el corazón desecho, 
mira lo que le has hecho 
A esta Pobre Tonto Loco Ilusionado 
solo le diste dolor. 
Volví a perder en el amor. 
Tengo el corazón desecho, 
mira lo que le has hecho 
A esta Pobre Tonto Loco Ilusionado 
solo le diste dolor."
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/lo-mejor/que-bonito/,"Que bonito cuando te veo ahí. 
que bonito cuando te siento, 
que bonito es sentir que estas aqui, junto a mi. 

Que bonito cuando me hablas hay, 
que bonito cuando te callas, 
Que bonito es sentir que estas aqui, junto a mi. 
Que bonito sería poder bolar, 
y a tu lado ponerme aqui a cantar, 
como siempre lo haciamos los dos. uooh. 

Que mi cuerpo no para de notar, 
que tu alma conmigo siempre esta 
y que nunca de mi se apartara, uooh. 
Que bonito tu pelo negro ahi, 
que bonito tu cuerpo entero, 
que bonito es sentir que estas aqui junto a mi, 
junto a mi. 

Que bonito seria poder bolar 
y a tu lado ponerme aqui a cantar, 
como siempre lo haciamos los dos, 
que mi cuerpo no para de notar 
que tu alma conmigo siempre esta, 
conmigo siempre esta que de nunca de mi se apartara 

Que bonito tu pelo negro ahi, 
que bonito tu cuerpo entero, 
que bonito es sentir todo tu ser, si tu ser. 

Que bonito seria poder bolar 
y a tu lado ponerme aqui a cantar, 
como siempre lo haciamos los dos, 
que mi cuerpo no para de notar que tu alma 
conmigo siempre esta, 
conmigo siempre esta que de nunca de mi se apartara"
